"","d2010_11_06","d2010_11_07","d2010_11_08","d2010_11_09","d2010_11_10","d2010_11_11","d2010_11_12","d2010_11_13","d2010_11_14","d2010_11_15","d2010_11_16","d2010_11_17","d2010_11_18","d2010_11_19","d2010_11_20","d2010_11_21","d2010_11_22","d2010_11_23","d2010_11_24","d2010_11_25","d2010_11_26","d2010_11_27","d2010_11_28","d2010_11_29","d2010_11_30","d2010_12_01","d2010_12_02","d2010_12_03","d2010_12_04","d2010_12_05"
"1",-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.638571954559337,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.58230166861721,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"2",-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.515376775055028,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.46905234277926,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"3",-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.467030577258915,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.414487468590957,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"4",-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.438545796877121,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.380219099484295,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"5",-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.443132786732866,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.384134397128579,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"6",-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.377164319922209,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.351614801681822,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"7",-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.275377480948168,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.241487774038235,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"8",-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.215834263495093,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.172560623194009,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"9",-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.226056624321607,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.180418751282976,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"10",-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.406076357595784,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.368999053621618,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"11",-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.503856079307986,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.465537207928173,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"12",-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.357093578438752,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.36655310782608,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"13",0.00745116596260842,0.00745116596260842,0.00745116596260842,0.00745116596260842,0.00745116596260842,0.00745116596260842,0.00745116596260842,0.00745116596260842,0.00745116596260842,0.00745116596260842,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.00711884993369771,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"14",0.11213142667469,0.11213142667469,0.11213142667469,0.11213142667469,0.11213142667469,0.11213142667469,0.11213142667469,0.11213142667469,0.11213142667469,0.11213142667469,0.107966177970308,0.107966177970308,0.107966177970308,0.107966177970308,0.107966177970308,0.107966177970308,0.107966177970308,0.107966177970308,0.107966177970308,0.107966177970308,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"15",0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0932504926928412,0.0948599421595308,0.0948599421595308,0.0948599421595308,0.0948599421595308,0.0948599421595308,0.0948599421595308,0.0948599421595308,0.0948599421595308,0.0948599421595308,0.0948599421595308,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"16",-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0393260683292308,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.0369253859941445,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"17",-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.225716855681242,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.219595495216588,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"18",-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.398715107373609,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.381657862115407,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"19",0.482505001893853,0.482505001893853,0.482505001893853,0.482505001893853,0.482505001893853,0.482505001893853,0.482505001893853,0.482505001893853,0.482505001893853,0.482505001893853,0.378634696515114,0.378634696515114,0.378634696515114,0.378634696515114,0.378634696515114,0.378634696515114,0.378634696515114,0.378634696515114,0.378634696515114,0.378634696515114,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
"20",-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0208589562994104,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.0728320448297256,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708,-0.230371988607708
